"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","965","test_fill_only_lastname","mini_project_saucedemo.tests","Mon Jul 14 16:06:54 GMT 2025","passed","Mon Jul 14 16:06:55 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","970","test_fill_only_firstname","mini_project_saucedemo.tests","Mon Jul 14 16:06:53 GMT 2025","passed","Mon Jul 14 16:06:54 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","999","test_invalid_user_name","mini_project_saucedemo.tests","Mon Jul 14 16:06:45 GMT 2025","passed","Mon Jul 14 16:06:46 GMT 2025","Test_login","test_login","",""
"","1380","test_enter_product","mini_project_saucedemo.tests","Mon Jul 14 16:05:57 GMT 2025","failed","Mon Jul 14 16:05:58 GMT 2025","Test_enter_product","test_enter_product","",""
"","998","test_invalid_password","mini_project_saucedemo.tests","Mon Jul 14 16:06:43 GMT 2025","passed","Mon Jul 14 16:06:44 GMT 2025","Test_login","test_login","",""
"","1029","test_price_for_product","mini_project_saucedemo.tests","Mon Jul 14 16:06:59 GMT 2025","passed","Mon Jul 14 16:07:00 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","1388","test_order_az","mini_project_saucedemo.tests","Mon Jul 14 16:07:05 GMT 2025","passed","Mon Jul 14 16:07:06 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","679","test_login_without_password_with_invalid_user_name","mini_project_saucedemo.tests","Mon Jul 14 16:06:48 GMT 2025","passed","Mon Jul 14 16:06:49 GMT 2025","Test_login","test_login","",""
"","690","test_login_without_password","mini_project_saucedemo.tests","Mon Jul 14 16:06:47 GMT 2025","passed","Mon Jul 14 16:06:48 GMT 2025","Test_login","test_login","",""
"","4737","test_e2e","mini_project_saucedemo.tests","Mon Jul 14 16:05:52 GMT 2025","passed","Mon Jul 14 16:05:56 GMT 2025","Test_e2e","test_e2e","",""
"","3277","test_reset","mini_project_saucedemo.tests","Mon Jul 14 16:06:07 GMT 2025","passed","Mon Jul 14 16:06:10 GMT 2025","Test_Envelope","test_envelope","",""
"","1384","test_order_hilo","mini_project_saucedemo.tests","Mon Jul 14 16:07:12 GMT 2025","passed","Mon Jul 14 16:07:14 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","716","test_open_and_close_error","mini_project_saucedemo.tests","Mon Jul 14 16:06:50 GMT 2025","passed","Mon Jul 14 16:06:50 GMT 2025","Test_login","test_login","",""
"","1321","test_text_lohi","mini_project_saucedemo.tests","Mon Jul 14 16:07:03 GMT 2025","passed","Mon Jul 14 16:07:04 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","1328","test_text_hilo","mini_project_saucedemo.tests","Mon Jul 14 16:07:14 GMT 2025","passed","Mon Jul 14 16:07:16 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","4386","test_open_linkedin","mini_project_saucedemo.tests","Mon Jul 14 16:06:16 GMT 2025","passed","Mon Jul 14 16:06:20 GMT 2025","Test_Envelope","test_envelope","",""
"","15118","test_of_all_list","mini_project_saucedemo.tests","Mon Jul 14 16:06:26 GMT 2025","passed","Mon Jul 14 16:06:41 GMT 2025","Test_List_of_all","test_list_of_all","",""
"","2252","test_products","mini_project_saucedemo.tests","Mon Jul 14 16:06:04 GMT 2025","passed","Mon Jul 14 16:06:07 GMT 2025","Test_Envelope","test_envelope","",""
"","2068","test_null_in_info","mini_project_saucedemo.tests","Mon Jul 14 16:06:51 GMT 2025","passed","Mon Jul 14 16:06:53 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","2104","test_about","mini_project_saucedemo.tests","Mon Jul 14 16:06:01 GMT 2025","passed","Mon Jul 14 16:06:04 GMT 2025","Test_Envelope","test_envelope","",""
"","1312","test_text_az","mini_project_saucedemo.tests","Mon Jul 14 16:07:07 GMT 2025","passed","Mon Jul 14 16:07:08 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","4385","test_open_twitter","mini_project_saucedemo.tests","Mon Jul 14 16:06:11 GMT 2025","passed","Mon Jul 14 16:06:15 GMT 2025","Test_Envelope","test_envelope","",""
"","2037","test_logout","mini_project_saucedemo.tests","Mon Jul 14 16:05:59 GMT 2025","passed","Mon Jul 14 16:06:01 GMT 2025","Test_Envelope","test_envelope","",""
"","0","test_enter_to_all_products","mini_project_saucedemo.tests","Mon Jul 14 16:05:58 GMT 2025","skipped","Mon Jul 14 16:05:58 GMT 2025","Test_enter_product","test_enter_product","",""
"","1271","test_fill_all_info","mini_project_saucedemo.tests","Mon Jul 14 16:06:58 GMT 2025","passed","Mon Jul 14 16:06:59 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","1317","test_text_za","mini_project_saucedemo.tests","Mon Jul 14 16:07:11 GMT 2025","passed","Mon Jul 14 16:07:12 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","4850","test_speed_add_and_remove","mini_project_saucedemo.tests","Mon Jul 14 16:07:16 GMT 2025","passed","Mon Jul 14 16:07:21 GMT 2025","Test_speed_add_and_remove","test_speed_add_and_remove","",""
"","1019","test_login","mini_project_saucedemo.tests","Mon Jul 14 16:06:42 GMT 2025","passed","Mon Jul 14 16:06:43 GMT 2025","Test_login","test_login","",""
"","1389","test_order_za","mini_project_saucedemo.tests","Mon Jul 14 16:07:09 GMT 2025","passed","Mon Jul 14 16:07:10 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","366","test_login_without_details","mini_project_saucedemo.tests","Mon Jul 14 16:06:46 GMT 2025","passed","Mon Jul 14 16:06:47 GMT 2025","Test_login","test_login","",""
"","1390","test_order_lohi","mini_project_saucedemo.tests","Mon Jul 14 16:07:01 GMT 2025","passed","Mon Jul 14 16:07:02 GMT 2025","Test_price_and_order_product","test_price_and_order_product","",""
"","1265","test_fill_only_firstname_and_lastname","mini_project_saucedemo.tests","Mon Jul 14 16:06:56 GMT 2025","passed","Mon Jul 14 16:06:58 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","1269","test_fill_only_firstnaem_and_code","mini_project_saucedemo.tests","Mon Jul 14 16:06:55 GMT 2025","passed","Mon Jul 14 16:06:56 GMT 2025","Test_null_in_info","test_null_in_info","",""
"","4383","test_open_facebook","mini_project_saucedemo.tests","Mon Jul 14 16:06:21 GMT 2025","passed","Mon Jul 14 16:06:25 GMT 2025","Test_Envelope","test_envelope","",""
